Acceptable if,response,shock,horizon,orthogonalized_response
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,17,0.0007866962487401999
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,18,0.0007363417916465433
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,19,0.0006317840345987243
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,20,0.0005143933484552408
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,21,0.00042958366497871547
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,22,0.0003439230116211131
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,23,0.0002696467207734249
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,24,0.00019743090966226068
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,0,0.0
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,1,0.010426386664994371
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,2,0.014803014144564683
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,3,-0.011359417181970003
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,4,-0.021065712796333763
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,5,0.0005165185132082087
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,6,0.01203847534073686
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,7,0.0068441949409763685
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,8,0.001126218120079164
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,9,-0.003384757485706801
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,10,-0.003095201843456452
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,11,-0.00047065587644894147
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,12,0.0008838067577975802
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,13,0.0008365352919976964
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,14,-9.5284988232886e-05
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,15,-0.0007299515599687962
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,16,-0.0007377899498129545
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,17,-0.000568986924189033
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,18,-0.00036991825254973043
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,19,-0.00030053218657646126
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,20,-0.0003727228811597555
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,21,-0.00044531878643322
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,22,-0.0004697805275563002
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,23,-0.000453055925482978
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,SENTIMENT_CHANGE,24,-0.0004225836545329791
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,0,-0.012607215029833045
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,1,-0.26730189164529805
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,2,-0.23970022930231255
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,3,-0.22777654062371236
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,4,-0.23485831427508358
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,5,-0.21040646731045856
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,6,-0.19533837669566875
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,7,-0.19759077214531032
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,8,-0.2005698062741921
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,9,-0.2032541656305715
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,10,-0.1984206821206762
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,11,-0.1920724837643509
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,12,-0.1862530812860785
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,13,-0.17922730309924978
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,14,-0.17285224943753127
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,15,-0.16727033715135625
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,16,-0.16127422188086918
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,17,-0.1548758526435137
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,18,-0.14837499156969083
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,19,-0.1418543828928602
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,20,-0.13533285103528228
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,21,-0.12893844166420176
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,22,-0.12272023596761696
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,23,-0.11662536066682885
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,FEDFUNDS,24,-0.11066902799141809
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,0,-0.05867482155856653
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,1,-0.09374841231837573
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,2,-0.11660978302873032
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,3,-0.12104389421124442
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,4,-0.10532427934027483
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,5,-0.0950589081937924
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,6,-0.08014941342624049
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,7,-0.07659827355951154
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,8,-0.07708583160477345
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,9,-0.0730102685574765
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,10,-0.06846848398274938
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,11,-0.06382131436020956
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,12,-0.059631859210703395
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,13,-0.056141854749987986
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,14,-0.05323896821651251
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,15,-0.05101925442843609
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,16,-0.048828631277877246
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,17,-0.04665658147901036
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,18,-0.0447656220028436
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,19,-0.043039893024762604
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,20,-0.04146980279303093
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,21,-0.040065449666592735
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,22,-0.038772904396585615
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,23,-0.03756242400664298
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INF,24,-0.03641929361594167
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,0,0.4899493832534498
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,1,0.4774265728890284
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,2,0.37266957994172917
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,3,0.3376583933732299
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,4,0.2793826735505686
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,5,0.236475377264919
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,6,0.22476841797785443
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,7,0.2250071703836773
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,8,0.22808844580256235
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,9,0.2154656328955311
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,10,0.20288054475388484
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,11,0.19303263085417266
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,12,0.18167009647693383
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,13,0.17282498893471052
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,14,0.16677905517043942
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,15,0.16103812639305007
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,16,0.15509870262686087
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,17,0.14933094716134637
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,18,0.14385222145670976
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,19,0.13850252564843332
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,20,0.13347979507534974
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,21,0.12885855137850663
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,22,0.12444463806701854
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,23,0.12018581359240389
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,UNRATE,24,0.1160786210709119
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,0,0.0
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,1,-0.11522688192783422
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,2,-0.11316111315949993
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,3,-0.14253311622817436
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,4,-0.16868991104176487
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,5,-0.12985792743229443
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,6,-0.12813394117866844
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,7,-0.13046671362050086
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,8,-0.1286582626784105
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,9,-0.12884266574225137
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,10,-0.12957815782958249
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,11,-0.12815116493403736
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,12,-0.12349139878574328
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,13,-0.11906961085037578
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,14,-0.11578461621007655
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,15,-0.11197544441008074
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,16,-0.10844581913892407
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,17,-0.10512272447097039
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,18,-0.10150775026833835
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,19,-0.09779729394776031
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,20,-0.09408843347726664
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,21,-0.09045086647186512
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,22,-0.08690783398433491
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,23,-0.08343462030297041
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,INDPRO_GROWTH,24,-0.0800534290935124
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,0,0.0
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,1,0.12258815385210298
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,2,0.05751254317593127
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,3,-0.012046158418832024
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,4,-0.055101246778702054
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,5,-0.08100088975250691
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,6,-0.10137219117309247
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,7,-0.1069155189930079
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,8,-0.10178606121337609
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,9,-0.10516287519671026
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,10,-0.11113593425794853
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,11,-0.11234629582962129
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,12,-0.11419228878226013
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,13,-0.11492945831406474
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,14,-0.11325680560048679
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,15,-0.11119908941108939
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,16,-0.10901017984044074
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,17,-0.10667303353833926
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,18,-0.1042992709396449
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,19,-0.10180202829831746
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,20,-0.09921935237789004
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,21,-0.09655183004380045
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,22,-0.0938281203733636
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,23,-0.09112108432026506
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,M2_GROWTH,24,-0.08845807258388101
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,0,0.0
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,1,-0.01906849939127117
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,2,-0.02111473183056231
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,3,-0.005797690152457653
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,4,0.01079870906596232
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,5,-0.012120644335902897
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,6,-0.022806367389058713
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,7,-0.02997030396790415
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,8,-0.03172727324822778
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,9,-0.027021624135954166
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,10,-0.02559284892167205
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,11,-0.02490589326036913
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,12,-0.025772121420913813
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,13,-0.027563280800901466
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,14,-0.027672747679935314
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,15,-0.027040678974204937
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,16,-0.026103990314879023
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,17,-0.025133918855212246
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,18,-0.024453492234119883
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,19,-0.023858744995794146
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,20,-0.023261876305578612
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,21,-0.022575018952254597
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,22,-0.02178786348156454
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,23,-0.020996418186223186
response paths are interpreted with Cholesky identification caveats and confidence bands,UNRATE,SENTIMENT_CHANGE,24,-0.02022246551539716
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,0,0.1263044945734054
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,1,0.3659072998385785
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,2,0.023285795765971964
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,3,-0.04357225320751697
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,4,-0.016658216217570042
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,5,0.025100710710344275
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,6,-0.0030274666373783696
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,7,0.004922497538355802
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,8,0.01757876357691271
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,9,0.006003829086931965
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,10,-0.009607855680799447
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,11,-0.011205647646865779
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,12,-0.010706599890034177
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,13,-0.01325971622104634
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,14,-0.014138378992655971
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,15,-0.013665652712968655
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,16,-0.015015281037870913
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,17,-0.016610552455290393
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,18,-0.017130482218621332
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,19,-0.017392104809240812
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,20,-0.017621803106174158
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,21,-0.017597171035661607
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,22,-0.017433164255845363
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,23,-0.017259194639160636
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,FEDFUNDS,24,-0.017037647676007128
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,0,0.050054508650373274
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,1,0.1491818764381451
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,2,0.019446030839172773
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,3,-0.018485051369859225
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,4,-0.004748607817808785
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,5,-0.014259206158663006
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,6,-0.02480923594377169
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,7,-0.016241776130620857
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,8,-0.006562709451218748
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,9,-0.012132544113307752
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,10,-0.01707809303809692
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,11,-0.014463369163200585
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,12,-0.01267236666939266
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,13,-0.01213327836292635
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,14,-0.010345339300214255
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,15,-0.008874798975334351
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,16,-0.008396104652868818
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,17,-0.00797851497347101
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,18,-0.007213989541847126
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,19,-0.006507455757848248
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,20,-0.00598619943932722
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,21,-0.005483156615505925
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,22,-0.00504108562531804
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,23,-0.004710635238218805
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INF,24,-0.004424672797517458
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,0,-0.6485165889718283
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,1,-0.008832628221910782
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,2,0.2972575167688428
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,3,0.20414433538057078
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,4,0.03220647267739183
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,5,0.0719641516800212
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,6,0.049857642188873945
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,7,0.008805592099404324
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,8,0.019743323151819404
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,9,0.046401922562930874
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,10,0.042133591582374806
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,11,0.03179876447655398
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,12,0.03095052231192815
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,13,0.028289392937201886
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,14,0.02246553136179502
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,15,0.021181402568719008
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,16,0.021619137922813565
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,17,0.02045464617754485
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,18,0.019115149583375703
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,19,0.018217752830962344
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,20,0.017212395598027494
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,21,0.016169001032738196
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,22,0.015397184831559375
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,23,0.014832913110447142
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,UNRATE,24,0.01427874464454782
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INDPRO_GROWTH,0,0.6361451567857935
response paths are interpreted with Cholesky identification caveats and confidence bands,INDPRO_GROWTH,INDPRO_GROWTH,1,0.08282733635326278
